Id	Sire	Dam	Line
10975524	Sire_10	Dam_10	Mindu
10975383	Sire_10	Dam_10	Mindu
10974769	Sire_10	Dam_10	Mindu
10975086	Sire_10	Dam_10	Mindu
10975142	Sire_10	Dam_10	Mindu
10975332	Sire_10	Dam_10	Mindu
10974740	Sire_10	Dam_10	Mindu
10974729	Sire_10	Dam_10	Mindu
10974862	Sire_10	Dam_10	Mindu
10975531	Sire_10	Dam_10	Mindu
10975135	Sire_10	Dam_10	Mindu
10975581	Sire_10	Dam_10	Mindu
10975265	Sire_10	Dam_10	Mindu
10975349	Sire_10	Dam_10	Mindu
10975500	Sire_10	Dam_10	Mindu
10975343	Sire_10	Dam_10	Mindu
10975289	Sire_10	Dam_10	Mindu
10974953	Sire_10	Dam_10	Mindu
10974815	Sire_10	Dam_10	Mindu
10974888	Sire_11	Dam_11	Mindu
10974896	Sire_11	Dam_11	Mindu
10974751	Sire_11	Dam_11	Mindu
10974749	Sire_11	Dam_11	Mindu
10974783	Sire_11	Dam_11	Mindu
10975100	Sire_11	Dam_11	Mindu
10975412	Sire_11	Dam_11	Mindu
10974978	Sire_11	Dam_11	Mindu
10975360	Sire_11	Dam_11	Mindu
10974672	Sire_11	Dam_11	Mindu
10975607	Sire_11	Dam_11	Mindu
10974799	Sire_11	Dam_11	Mindu
10975126	Sire_11	Dam_11	Mindu
10974842	Sire_11	Dam_11	Mindu
10974984	Sire_11	Dam_11	Mindu
10975050	Sire_11	Dam_11	Mindu
10975618	Sire_11	Dam_11	Mindu
10975375	Sire_11	Dam_11	Mindu
10975084	Sire_11	Dam_11	Mindu
10975071	Sire_11	Dam_11	Mindu
10975240	Sire_11	Dam_11	Mindu
10975550	Sire_11	Dam_11	Mindu
10974993	Sire_11	Dam_11	Mindu
10975229	Sire_11	Dam_11	Mindu
10976587	Sire_11	Dam_11	Mindu
10975449	Sire_11	Dam_11	Mindu
10975254	Sire_11	Dam_11	Mindu
10975424	Sire_11	Dam_11	Mindu
10974775	Sire_11	Dam_11	Mindu
10974824	Sire_11	Dam_11	Mindu
10974755	Sire_12	Dam_12	Mindu
10975474	Sire_12	Dam_12	Mindu
10975034	Sire_12	Dam_12	Mindu
10974975	Sire_12	Dam_12	Mindu
10975263	Sire_12	Dam_12	Mindu
10974985	Sire_12	Dam_12	Mindu
10974797	Sire_12	Dam_12	Mindu
10975563	Sire_12	Dam_12	Mindu
10975105	Sire_12	Dam_12	Mindu
10975337	Sire_12	Dam_12	Mindu
10975312	Sire_12	Dam_12	Mindu
10975102	Sire_12	Dam_12	Mindu
10975166	Sire_12	Dam_12	Mindu
10974807	Sire_12	Dam_12	Mindu
10974817	Sire_12	Dam_12	Mindu
10974845	Sire_12	Dam_12	Mindu
10974836	Sire_12	Dam_12	Mindu
10974681	Sire_12	Dam_12	Mindu
10974724	Sire_12	Dam_12	Mindu
10975323	Sire_12	Dam_12	Mindu
10974759	Sire_12	Dam_12	Mindu
10975446	Sire_12	Dam_12	Mindu
10974864	Sire_12	Dam_12	Mindu
10975259	Sire_12	Dam_12	Mindu
10975271	Sire_12	Dam_12	Mindu
10975108	Sire_12	Dam_12	Mindu
10975281	Sire_12	Dam_12	Mindu
10974839	Sire_12	Dam_12	Mindu
10975193	Sire_12	Dam_12	Mindu
10975314	Sire_12	Dam_12	Mindu
10974980	Sire_13	Dam_13	Utete
10975120	Sire_13	Dam_13	Utete
10975161	Sire_13	Dam_13	Utete
10975614	Sire_13	Dam_13	Utete
10974763	Sire_13	Dam_13	Utete
10974688	Sire_13	Dam_13	Utete
10974838	Sire_13	Dam_13	Utete
10974760	Sire_13	Dam_13	Utete
10975431	Sire_13	Dam_13	Utete
10974809	Sire_13	Dam_13	Utete
10975554	Sire_13	Dam_13	Utete
10975201	Sire_13	Dam_13	Utete
10974642	Sire_13	Dam_13	Utete
10974841	Sire_13	Dam_13	Utete
10975463	Sire_13	Dam_13	Utete
10975364	Sire_13	Dam_13	Utete
10975433	Sire_13	Dam_13	Utete
10974882	Sire_13	Dam_13	Utete
10975080	Sire_13	Dam_13	Utete
10975543	Sire_13	Dam_13	Utete
10975511	Sire_13	Dam_13	Utete
10975283	Sire_13	Dam_13	Utete
10975532	Sire_13	Dam_13	Utete
10975119	Sire_13	Dam_13	Utete
10975390	Sire_13	Dam_13	Utete
10975352	Sire_13	Dam_13	Utete
10975005	Sire_13	Dam_13	Utete
10975212	Sire_13	Dam_13	Utete
10975175	Sire_13	Dam_13	Utete
10974646	Sire_14	Dam_14	Utete
10974933	Sire_14	Dam_14	Utete
10975117	Sire_14	Dam_14	Utete
10974634	Sire_14	Dam_14	Utete
10975141	Sire_14	Dam_14	Utete
10975378	Sire_14	Dam_14	Utete
10975572	Sire_14	Dam_14	Utete
10975303	Sire_14	Dam_14	Utete
10975146	Sire_14	Dam_14	Utete
10975516	Sire_14	Dam_14	Utete
10975598	Sire_14	Dam_14	Utete
10975065	Sire_14	Dam_14	Utete
10974652	Sire_14	Dam_14	Utete
10975582	Sire_14	Dam_14	Utete
10975456	Sire_14	Dam_14	Utete
10975334	Sire_14	Dam_14	Utete
10974868	Sire_14	Dam_14	Utete
10974994	Sire_14	Dam_14	Utete
10975437	Sire_14	Dam_14	Utete
10975475	Sire_14	Dam_14	Utete
10975447	Sire_14	Dam_14	Utete
10974885	Sire_14	Dam_14	Utete
10974756	Sire_15	Dam_15	Utete
10975242	Sire_15	Dam_15	Utete
10975174	Sire_15	Dam_15	Utete
10974660	Sire_15	Dam_15	Utete
10974635	Sire_15	Dam_15	Utete
10974639	Sire_15	Dam_15	Utete
10975588	Sire_15	Dam_15	Utete
10975233	Sire_15	Dam_15	Utete
10975395	Sire_15	Dam_15	Utete
10975150	Sire_15	Dam_15	Utete
10975269	Sire_15	Dam_15	Utete
10975591	Sire_15	Dam_15	Utete
10974889	Sire_15	Dam_15	Utete
10974701	Sire_15	Dam_15	Utete
10975414	Sire_15	Dam_15	Utete
10975479	Sire_15	Dam_15	Utete
10974757	Sire_15	Dam_15	Utete
10975251	Sire_15	Dam_15	Utete
10974931	Sire_15	Dam_15	Utete
10975033	Sire_15	Dam_15	Utete
10974833	Sire_15	Dam_15	Utete
