Id	Sire	Dam	Year_Class	Selected_gen
478779	020536	02091E	2013	7
478859	020536	02091E	2013	7
478834	020536	02091E	2013	7
478873	020536	02091E	2013	7
478870	020536	02091E	2013	7
478837	020536	02091E	2013	7
478811	020536	02091E	2013	7
478812	020536	02091E	2013	7
478876	020536	02091E	2013	7
478827	020536	02091E	2013	7
478813	020536	02091E	2013	7
478833	020536	02091E	2013	7
478835	020536	02091E	2013	7
478801	020536	02091E	2013	7
478783	020536	02091E	2013	7
478802	020536	02091E	2013	7
478843	020536	02091E	2013	7
478848	020536	02091E	2013	7
478829	020536	02091E	2013	7
478863	020536	02091E	2013	7
478803	020536	02091E	2013	7
480461	020AF4	01E37B	2013	7
480563	020AF4	01E37B	2013	7
480310	020AF4	01E37B	2013	7
480489	020AF4	01E37B	2013	7
480536	020AF4	01E37B	2013	7
480533	020AF4	01E37B	2013	7
480290	020AF4	01E37B	2013	7
480522	020AF4	01E37B	2013	7
480465	020AF4	01E37B	2013	7
480449	020AF4	01E37B	2013	7
480388	020AF4	01E37B	2013	7
480435	020AF4	01E37B	2013	7
480284	020AF4	01E37B	2013	7
480407	020AF4	01E37B	2013	7
480451	020AF4	01E37B	2013	7
480394	020AF4	01E37B	2013	7
480321	020AF4	01E37B	2013	7
480288	020AF4	01E37B	2013	7
480541	020AF4	01E37B	2013	7
480406	020AF4	01E37B	2013	7
480282	020AF4	01E37B	2013	7
480323	020AF4	01E37B	2013	7
480391	020AF4	01E37B	2013	7
480258	020AF4	01E37B	2013	7
480314	020AF4	01E37B	2013	7
480500	020AF4	01E37B	2013	7
480453	020AF4	01E37B	2013	7
480444	020AF4	01E37B	2013	7
480508	020AF4	01E37B	2013	7
480419	020AF4	01E37B	2013	7
480455	020AF4	01E37B	2013	7
480534	020AF4	01E37B	2013	7
480303	020AF4	01E37B	2013	7
480529	020AF4	01E37B	2013	7
480498	020AF4	01E37B	2013	7
480266	020AF4	01E37B	2013	7
480317	020AF4	01E37B	2013	7
480448	020AF4	01E37B	2013	7
480298	020AF4	01E37B	2013	7
480425	020AF4	01E37B	2013	7
480497	020AF4	01E37B	2013	7
480268	020AF4	01E37B	2013	7
480400	020AF4	01E37B	2013	7
480291	020AF4	01E37B	2013	7
480409	020AF4	01E37B	2013	7
480517	020AF4	01E37B	2013	7
480292	020AF4	01E37B	2013	7
480269	020AF4	01E37B	2013	7
480428	020AF4	01E37B	2013	7
480532	020AF4	01E37B	2013	7
480472	020AF4	01E37B	2013	7
480412	020AF4	01E37B	2013	7
480267	020AF4	01E37B	2013	7
480551	020AF4	01E37B	2013	7
480512	020AF4	01E37B	2013	7
480325	020AF4	01E37B	2013	7
480344	020AF4	01E37B	2013	7
480485	020AF4	01E37B	2013	7
480278	020AF4	01E37B	2013	7
480502	020AF4	01E37B	2013	7
480390	020AF4	01E37B	2013	7
480356	020AF4	01E37B	2013	7
480416	020AF4	01E37B	2013	7
480560	020AF4	01E37B	2013	7
480331	020AF4	01E37B	2013	7
480346	020AF4	01E37B	2013	7
480446	020AF4	01E37B	2013	7
480521	020AF4	01E37B	2013	7
480386	020AF4	01E37B	2013	7
480408	020AF4	01E37B	2013	7
480329	020AF4	01E37B	2013	7
480528	020AF4	01E37B	2013	7
480330	020AF4	01E37B	2013	7
480413	020AF4	01E37B	2013	7
480527	020AF4	01E37B	2013	7
480313	020AF4	020308	2013	7
480276	020AF4	020308	2013	7
480311	020AF4	020308	2013	7
480315	020AF4	020308	2013	7
480302	020AF4	020308	2013	7
480270	020AF4	020308	2013	7
480337	020AF4	020308	2013	7
480260	020AF4	020308	2013	7
480340	020AF4	020308	2013	7
480333	020AF4	020308	2013	7
480353	020AF4	020308	2013	7
480295	020AF4	020308	2013	7
480316	020AF4	020308	2013	7
480349	020AF4	020308	2013	7
480307	020AF4	020308	2013	7
480294	020AF4	020308	2013	7
480342	020AF4	020308	2013	7
480274	020AF4	020308	2013	7
480301	020AF4	020308	2013	7
480254	020AF4	020308	2013	7
480343	020AF4	020308	2013	7
480279	020AF4	020308	2013	7
480283	020AF4	020308	2013	7
480308	020AF4	020308	2013	7
480319	020AF4	020308	2013	7
480280	020AF4	020308	2013	7
480336	020AF4	020308	2013	7
480351	020AF4	020308	2013	7
480264	020AF4	020308	2013	7
480350	020AF4	020308	2013	7
480281	020AF4	020308	2013	7
480352	020AF4	020308	2013	7
480326	020AF4	020308	2013	7
480273	020AF4	020308	2013	7
480286	020AF4	020308	2013	7
480338	020AF4	020308	2013	7
480306	020AF4	020308	2013	7
480305	020AF4	020308	2013	7
480334	020AF4	020308	2013	7
480263	020AF4	020308	2013	7
480341	020AF4	020308	2013	7
480297	020AF4	020308	2013	7
480285	020AF4	020308	2013	7
480255	020AF4	020308	2013	7
480324	020AF4	020308	2013	7
480293	020AF4	020308	2013	7
480256	020AF4	020308	2013	7
480259	020AF4	020308	2013	7
480300	020AF4	020308	2013	7
480327	020AF4	020308	2013	7
480322	020AF4	020308	2013	7
480309	020AF4	020308	2013	7
480335	020AF4	020308	2013	7
480265	020AF4	020308	2013	7
480253	020AF4	020308	2013	7
480275	020AF4	020308	2013	7
480277	020AF4	020308	2013	7
480328	020AF4	020308	2013	7
480348	020AF4	020308	2013	7
480262	020AF4	020308	2013	7
480318	020AF4	020308	2013	7
480287	020AF4	020308	2013	7
480312	020AF4	020308	2013	7
480272	020AF4	020308	2013	7
480299	020AF4	020308	2013	7
480339	020AF4	020308	2013	7
480320	020AF4	020308	2013	7
480252	020AF4	020308	2013	7
480271	020AF4	020308	2013	7
480289	020AF4	020308	2013	7
480304	020AF4	020308	2013	7
480347	020AF4	020308	2013	7
480257	020AF4	020308	2013	7
480332	020AF4	020308	2013	7
480296	020AF4	020308	2013	7
479090	01EB04	FC4A3A	2013	7
478992	01EB04	FC4A3A	2013	7
