PIT	Length	Weight	Tank	Sex	Site
917121	480	1604	2	U	1
916146	400	825	2	U	1
919285	460	1394	2	U	1
916205	460	1606	2	M	1
917291	390	831	2	U	1
919009	410	1097	2	U	1
916732	445	1516	2	U	1
915679	455	1528	2	U	1
917364	430	1226	2	U	1
918645	460	1649	2	M	1
918296	455	1780	2	U	1
918874	460	1537	2	U	1
916161	465	1471	2	U	1
918385	515	2324	2	M	1
918981	480	1560	2	M	1
916027	410	1029	2	U	1
919668	445	1467	2	U	1
915641	455	1521	2	M	1
918180	505	1807	2	M	1
918547	465	1410	2	U	1
916034	405	1222	2	U	1
919525	405	1080	2	U	1
916163	420	973	2	U	1
920339	405	938	2	U	1
918107	445	1524	2	U	1
920096	405	838	2	U	1
919229	420	1063	2	U	1
916609	445	1605	2	U	1
917304	460	1375	2	U	1
916315	505	1857	2	M	1
919817	480	1764	2	M	1
919921	450	1621	2	U	1
915887	480	1821	2	U	1
917115	465	1431	2	U	1
917655	500	1790	2	M	1
915687	420	1183	2	U	1
916958	450	1873	2	U	1
920184	450	1591	2	U	1
917531	495	1666	2	M	1
917082	475	1663	2	U	1
918193	445	1542	2	U	1
918310	450	1556	2	U	1
916009	455	1435	2	U	1
919019	455	1536	2	M	1
919898	480	1741	2	M	1
916803	450	1399	2	U	1
920073	470	1694	2	U	1
919475	500	1928	2	U	1
916475	485	1745	2	M	1
915954	420	1081	2	U	1
917694	480	1766	2	U	1
916649	440	1419	2	U	1
917188	410	1093	2	U	1
918741	440	1234	2	M	1
916801	435	1313	2	U	1
918156	440	1420	2	U	1
919085	445	1374	2	U	1
915869	450	1509	2	U	1
916974	435	1222	2	U	1
919370	450	1713	2	U	1
920158	465	1863	2	U	1
916833	450	1396	2	U	1
918321	440	1659	2	U	1
920398	480	1935	2	U	1
916421	470	1901	2	U	1
919001	360	779	2	U	1
918028	450	1664	2	M	1
919364	500	1799	2	M	1
916134	455	1624	2	U	1
918511	395	860	2	U	1
917878	465	1811	2	U	1
917430	480	1794	2	U	1
918210	415	1191	2	M	1
916058	420	883	2	U	1
920201	480	1704	2	U	1
917327	495	1879	2	U	1
917557	490	1860	2	M	1
918858	465	1454	2	U	1
916068	500	2308	2	U	1
915674	470	1825	2	U	1
919692	450	1262	2	U	1
916771	500	2064	2	M	1
916321	500	1851	2	M	1
920189	400	935	2	U	1
917833	370	735	2	U	1
920126	385	834	2	U	1
916137	450	1348	2	U	1
917053	445	1157	2	U	1
917830	410	818	2	U	1
917033	385	812	2	U	1
917465	450	1506	2	U	1
919250	435	1054	2	M	1
916737	455	1796	2	U	1
919820	485	1512	2	M	1
918679	460	1315	2	U	1
917314	470	1411	2	M	1
918072	455	1524	2	U	1
920112	495	1840	2	U	1
916364	475	1897	2	U	1
916460	450	1579	2	U	1
920530	420	1204	2	U	1
919565	435	1048	2	U	1
916483	515	2309	2	M	1
918989	475	1560	2	U	1
920092	450	1328	2	U	1
918815	440	1283	2	U	1
918069	410	1080	2	U	1
918849	490	1340	2	M	1
919574	505	2257	2	U	1
917246	395	720	2	U	1
917933	450	1693	2	U	1
919259	485	2093	2	U	1
917559	425	1239	2	U	1
917670	480	1609	2	M	1
918712	465	1543	2	U	1
916545	495	1802	2	U	1
916115	475	1657	2	U	1
919275	475	1899	2	U	1
920210	465	1452	2	U	1
919444	415	830	2	U	1
915800	450	1398	2	M	1
916387	465	1526	2	U	1
919230	480	1854	2	U	1
919865	455	1367	2	U	1
916620	480	1985	2	U	1
915692	450	1374	2	U	1
