,Id,Sire,Dam
65,G2_424281,G1_823196,G1_822979
66,G2_425664,G1_823196,G1_822979
67,G2_425244,G1_823196,G1_822979
68,G2_425092,G1_823196,G1_822979
69,G2_430251,G1_823196,G1_822979
70,G2_425682,G1_823196,G1_822979
71,G2_424247,G1_823196,G1_822979
72,G2_425088,G1_823196,G1_822979
73,G2_430256,G1_823196,G1_822979
74,G2_430839,G1_823196,G1_822979
75,G2_431884,G1_823196,G1_822979
76,G2_430661,G1_823196,G1_822979
77,G2_430497,G1_823196,G1_822979
78,G2_431669,G1_823196,G1_822979
79,G2_430774,G1_823196,G1_822979
80,G2_425953,G1_823196,G1_822979
81,G2_424391,G1_823196,G1_822979
82,G2_431213,G1_823196,G1_822979
83,G2_426157,G1_823196,G1_822979
84,G2_430655,G1_823196,G1_822979
85,G2_425625,G1_823196,G1_822979
86,G2_430896,G1_823196,G1_822979
87,G2_430298,G1_823196,G1_822979
88,G2_430365,G1_823196,G1_822979
89,G2_426096,G1_823196,G1_822979
90,G2_425704,G1_823196,G1_299593
91,G2_431299,G1_823196,G1_299593
92,G2_430923,G1_823196,G1_299593
93,G2_430909,G1_823196,G1_299593
94,G2_425812,G1_823196,G1_299593
95,G2_430452,G1_823196,G1_299593
96,G2_424796,G1_823196,G1_299593
97,G2_431795,G1_823196,G1_299593
98,G2_430280,G1_823196,G1_299593
99,G2_430632,G1_823196,G1_299593
100,G2_432026,G1_823196,G1_299593
101,G2_425373,G1_823196,G1_299593
102,G2_430799,G1_823196,G1_299593
103,G2_424698,G1_823196,G1_299593
104,G2_431228,G1_823196,G1_299593
105,G2_430220,G1_823196,G1_299593
106,G2_431253,G1_823196,G1_299593
107,G2_425139,G1_823196,G1_299593
108,G2_431010,G1_823196,G1_299593
109,G2_432000,G1_823196,G1_299593
110,G2_426192,G1_823196,G1_299593
111,G2_424486,G1_823196,G1_299593
112,G2_424354,G1_823196,G1_299593
113,G2_430235,G1_823196,G1_299593
114,G2_425755,G1_823196,G1_299593
115,G2_425495,G1_823196,G1_299593
116,G2_424772,G1_823196,G1_299593
117,G2_425331,G1_823196,G1_299593
118,G2_431627,G1_823196,G1_299593
119,G2_425694,G1_823196,G1_299593
120,G2_431096,G1_823196,G1_802115
121,G2_425842,G1_823196,G1_802115
122,G2_430266,G1_823196,G1_802115
123,G2_425681,G1_823196,G1_802115
124,G2_425589,G1_823196,G1_802115
125,G2_425505,G1_823196,G1_802115
126,G2_425611,G1_823196,G1_802115
127,G2_432162,G1_823196,G1_802115
128,G2_430480,G1_823196,G1_802115
129,G2_431125,G1_823196,G1_802115
130,G2_424725,G1_823196,G1_802115
131,G2_425565,G1_823196,G1_802115
132,G2_424983,G1_823196,G1_802115
133,G2_431431,G1_823196,G1_802115
134,G2_425548,G1_823196,G1_802115
135,G2_425456,G1_823196,G1_802115
136,G2_431622,G1_823196,G1_802115
137,G2_430506,G1_823196,G1_802115
138,G2_424896,G1_823196,G1_802115
139,G2_424915,G1_823196,G1_802115
140,G2_431038,G1_823196,G1_802115
141,G2_431683,G1_823196,G1_802115
142,G2_431645,G1_823196,G1_802115
143,G2_426053,G1_823196,G1_802115
144,G2_424323,G1_823196,G1_802115
145,G2_430595,G1_823196,G1_802115
146,G2_425396,G1_823196,G1_802115
147,G2_426009,G1_823196,G1_802115
148,G2_431254,G1_823196,G1_802115
149,G2_424420,G1_823196,G1_802115
150,G2_425238,G1_802217,G1_965041
151,G2_431729,G1_802217,G1_965041
152,G2_431218,G1_802217,G1_965041
153,G2_432031,G1_802217,G1_965041
154,G2_424744,G1_802217,G1_965041
155,G2_424340,G1_802217,G1_965041
156,G2_432109,G1_802217,G1_965041
157,G2_430439,G1_802217,G1_965041
158,G2_431755,G1_802217,G1_965041
159,G2_432191,G1_802217,G1_965041
160,G2_424290,G1_802217,G1_965041
161,G2_424534,G1_802217,G1_965041
162,G2_424854,G1_802217,G1_965041
163,G2_425875,G1_802217,G1_965041
164,G2_425669,G1_802217,G1_965041
165,G2_424975,G1_802217,G1_965041
166,G2_424483,G1_802217,G1_965041
167,G2_425171,G1_802217,G1_965041
168,G2_430891,G1_802217,G1_965041
169,G2_430787,G1_802217,G1_965041
170,G2_430412,G1_802217,G1_965041
171,G2_430520,G1_802217,G1_965041
172,G2_431229,G1_802217,G1_965041
173,G2_431463,G1_802217,G1_965041
174,G2_431605,G1_802217,G1_965041
175,G2_430825,G1_802217,G1_965041
176,G2_425834,G1_802217,G1_965041
177,G2_424397,G1_802217,G1_965041
178,G2_430724,G1_802217,G1_965041
179,G2_431862,G1_802217,G1_965041
180,G2_430785,G1_802217,G1_802845
181,G2_425207,G1_802217,G1_802845
182,G2_431394,G1_802217,G1_802845
183,G2_431284,G1_802217,G1_802845
184,G2_425728,G1_802217,G1_802845
185,G2_431045,G1_802217,G1_802845
186,G2_426203,G1_802217,G1_802845
187,G2_424362,G1_802217,G1_802845
188,G2_426064,G1_802217,G1_802845
189,G2_425675,G1_802217,G1_802845
190,G2_431137,G1_802217,G1_802845
191,G2_424609,G1_802217,G1_802845
192,G2_430467,G1_802217,G1_802845
193,G2_431473,G1_802217,G1_802845
194,G2_430503,G1_802217,G1_802845
195,G2_425455,G1_802217,G1_802845
196,G2_424832,G1_802217,G1_802845
197,G2_424248,G1_802217,G1_802845
198,G2_432203,G1_802217,G1_802845
199,G2_430554,G1_802217,G1_802845
200,G2_430212,G1_802217,G1_802845
201,G2_425588,G1_802217,G1_802845
202,G2_425282,G1_802217,G1_802845
203,G2_431070,G1_802217,G1_802845
204,G2_430344,G1_802217,G1_802845
205,G2_431632,G1_802217,G1_802845
206,G2_431172,G1_802217,G1_802845
207,G2_432172,G1_802217,G1_802845
208,G2_430769,G1_802217,G1_802845
209,G2_424337,G1_802217,G1_802845
210,G2_431646,G1_802232,G1_823053
211,G2_431637,G1_802232,G1_823053
212,G2_425560,G1_802232,G1_823053
213,G2_424921,G1_802232,G1_823053
214,G2_425786,G1_802232,G1_823053
215,G2_424835,G1_802232,G1_823053
216,G2_425752,G1_802232,G1_823053
217,G2_430789,G1_802232,G1_823053
218,G2_431533,G1_802232,G1_823053
219,G2_431167,G1_802232,G1_823053
220,G2_431716,G1_802232,G1_823053
221,G2_432002,G1_802232,G1_823053
222,G2_430907,G1_802232,G1_823053
223,G2_431304,G1_802232,G1_823053
224,G2_424622,G1_802232,G1_823053
225,G2_425695,G1_802232,G1_823053
226,G2_431365,G1_802232,G1_823053
227,G2_425350,G1_802232,G1_823053
228,G2_431312,G1_802232,G1_823053
229,G2_431815,G1_802232,G1_823053
230,G2_430456,G1_802232,G1_823053
231,G2_430223,G1_802232,G1_823053
232,G2_424374,G1_802232,G1_823053
233,G2_424944,G1_802232,G1_823053
234,G2_430481,G1_802232,G1_823053
235,G2_431528,G1_802232,G1_823053
236,G2_430786,G1_802232,G1_823053
237,G2_424727,G1_802232,G1_823053
238,G2_424549,G1_802232,G1_823053
239,G2_430384,G1_802232,G1_823053
240,G2_432038,G1_802232,G1_823059
241,G2_431589,G1_802232,G1_823059
242,G2_424495,G1_802232,G1_823059
243,G2_430390,G1_802232,G1_823059
244,G2_431843,G1_802232,G1_823059
245,G2_431841,G1_802232,G1_823059
246,G2_430869,G1_802232,G1_823059
247,G2_424447,G1_802232,G1_823059
248,G2_430820,G1_802232,G1_823059
249,G2_430274,G1_802232,G1_823059
250,G2_431763,G1_802232,G1_823059
251,G2_424708,G1_802232,G1_823059
252,G2_430715,G1_802232,G1_823059
253,G2_425710,G1_802232,G1_823059
254,G2_424652,G1_802232,G1_823059
255,G2_425780,G1_802232,G1_823059
256,G2_425513,G1_802232,G1_823059
257,G2_430388,G1_802232,G1_823059
258,G2_430515,G1_802232,G1_823059
259,G2_430883,G1_802232,G1_823059
260,G2_430436,G1_802232,G1_823059
261,G2_425898,G1_802232,G1_823059
262,G2_424960,G1_802232,G1_823059
263,G2_425873,G1_802232,G1_823059
264,G2_424853,G1_802232,G1_823059
265,G2_431420,G1_802232,G1_823059
266,G2_431263,G1_802232,G1_823059
267,G2_430574,G1_802232,G1_823059
268,G2_431719,G1_802232,G1_823059
269,G2_431166,G1_802232,G1_823059
270,G2_7091807,G1_823173,G1_802801
271,G2_7402396,G1_823173,G1_802801
272,G2_7801200,G1_823173,G1_802801
273,G2_7091755,G1_823173,G1_802801
274,G2_7402350,G1_823173,G1_802801
275,G2_7402373,G1_823173,G1_802801
276,G2_7402438,G1_823173,G1_802801
277,G2_7091785,G1_823173,G1_802801
278,G2_7801061,G1_823173,G1_802801
279,G2_7801100,G1_823173,G1_802801
280,G2_7800930,G1_823173,G1_802801
281,G2_7402319,G1_823173,G1_802801
282,G2_7402328,G1_823173,G1_802801
283,G2_7800967,G1_823173,G1_802801
284,G2_7801004,G1_823173,G1_802801
285,G2_7801170,G1_823173,G1_802801
286,G2_7801047,G1_823173,G1_802801
287,G2_7402367,G1_823173,G1_802801
288,G2_7801313,G1_823173,G1_802801
289,G2_7800878,G1_823173,G1_802801
290,G2_7402255,G1_823173,G1_802801
291,G2_7801194,G1_823173,G1_802801
292,G2_7402376,G1_823173,G1_802801
293,G2_7801203,G1_823173,G1_802801
294,G2_7801142,G1_823173,G1_802801
295,G2_7800927,G1_823173,G1_802801
296,G2_7800926,G1_823173,G1_802801
297,G2_7800953,G1_823173,G1_802801
298,G2_7800949,G1_823173,G1_802801
299,G2_7801111,G1_823173,G1_802801
300,G2_7800935,G1_823173,G1_823323
301,G2_7800934,G1_823173,G1_823323
302,G2_7801075,G1_823173,G1_823323
303,G2_7402444,G1_823173,G1_823323
304,G2_7801015,G1_823173,G1_823323
305,G2_7801128,G1_823173,G1_823323
306,G2_7801055,G1_823173,G1_823323
307,G2_7801269,G1_823173,G1_823323
308,G2_7801024,G1_823173,G1_823323
309,G2_7402291,G1_823173,G1_823323
310,G2_7800988,G1_823173,G1_823323
311,G2_7402415,G1_823173,G1_823323
312,G2_7091763,G1_823173,G1_823323
313,G2_7801302,G1_823173,G1_823323
314,G2_7801040,G1_823173,G1_823323
315,G2_7801290,G1_823173,G1_823323
316,G2_7402360,G1_823173,G1_823323
317,G2_7801183,G1_823173,G1_823323
318,G2_7801052,G1_823173,G1_823323
319,G2_7402288,G1_823173,G1_823323
320,G2_7800896,G1_823173,G1_823323
321,G2_7801079,G1_823173,G1_823323
322,G2_7402353,G1_823173,G1_823323
323,G2_7801007,G1_823173,G1_823323
324,G2_7801101,G1_823173,G1_823323
325,G2_7801205,G1_823173,G1_823323
326,G2_7801247,G1_823173,G1_823323
327,G2_7801297,G1_823173,G1_823323
328,G2_7402420,G1_823173,G1_823323
329,G2_7801288,G1_823173,G1_823323
330,G2_425530,G1_801523,G1_973555
331,G2_424506,G1_801523,G1_973555
332,G2_431671,G1_801523,G1_973555
333,G2_424713,G1_801523,G1_973555
334,G2_424667,G1_801523,G1_973555
335,G2_431400,G1_801523,G1_973555
336,G2_425199,G1_801523,G1_973555
337,G2_430783,G1_801523,G1_973555
338,G2_425269,G1_801523,G1_973555
339,G2_431114,G1_801523,G1_973555
340,G2_430778,G1_801523,G1_973555
341,G2_425514,G1_801523,G1_973555
342,G2_424705,G1_801523,G1_973555
343,G2_424409,G1_801523,G1_973555
344,G2_431401,G1_801523,G1_973555
345,G2_431536,G1_801523,G1_973555
346,G2_425764,G1_801523,G1_973555
347,G2_431781,G1_801523,G1_973555
348,G2_430505,G1_801523,G1_973555
349,G2_431731,G1_801523,G1_973555
350,G2_426086,G1_801523,G1_973555
351,G2_425832,G1_801523,G1_973555
352,G2_424502,G1_801523,G1_973555
353,G2_431939,G1_801523,G1_973555
354,G2_424600,G1_801523,G1_973555
355,G2_430300,G1_801523,G1_973555
356,G2_424665,G1_801523,G1_973555
357,G2_424950,G1_801523,G1_973555
358,G2_424768,G1_801523,G1_973555
359,G2_424798,G1_801523,G1_973555
360,G2_430716,G1_801523,G1_972178
361,G2_426180,G1_801523,G1_972178
362,G2_431451,G1_801523,G1_972178
363,G2_425266,G1_801523,G1_972178
364,G2_431577,G1_801523,G1_972178
365,G2_431739,G1_801523,G1_972178
366,G2_430284,G1_801523,G1_972178
367,G2_426113,G1_801523,G1_972178
368,G2_425085,G1_801523,G1_972178
369,G2_424754,G1_801523,G1_972178
370,G2_424466,G1_801523,G1_972178
371,G2_430972,G1_801523,G1_972178
372,G2_425779,G1_801523,G1_972178
373,G2_431914,G1_801523,G1_972178
374,G2_431909,G1_801523,G1_972178
375,G2_425406,G1_801523,G1_972178
376,G2_424314,G1_801523,G1_972178
377,G2_425563,G1_801523,G1_972178
378,G2_425029,G1_801523,G1_972178
379,G2_430749,G1_801523,G1_972178
380,G2_425795,G1_801523,G1_972178
381,G2_432069,G1_801523,G1_972178
382,G2_431195,G1_801523,G1_972178
383,G2_430422,G1_801523,G1_972178
384,G2_432010,G1_801523,G1_972178
385,G2_432156,G1_801523,G1_972178
386,G2_430287,G1_801523,G1_972178
387,G2_430338,G1_801523,G1_972178
388,G2_425534,G1_801523,G1_972178
389,G2_425621,G1_801523,G1_972178
390,G2_425899,G1_801523,G1_965021
391,G2_424653,G1_801523,G1_965021
392,G2_431712,G1_801523,G1_965021
393,G2_425079,G1_801523,G1_965021
394,G2_424631,G1_801523,G1_965021
395,G2_431390,G1_801523,G1_965021
396,G2_431464,G1_801523,G1_965021
397,G2_425603,G1_801523,G1_965021
398,G2_426026,G1_801523,G1_965021
399,G2_426005,G1_801523,G1_965021
400,G2_424951,G1_801523,G1_965021
401,G2_431285,G1_801523,G1_965021
402,G2_425206,G1_801523,G1_965021
403,G2_431976,G1_801523,G1_965021
404,G2_425822,G1_801523,G1_965021
405,G2_424748,G1_801523,G1_965021
406,G2_424451,G1_801523,G1_965021
407,G2_430586,G1_801523,G1_965021
408,G2_424220,G1_801523,G1_965021
409,G2_426058,G1_801523,G1_965021
410,G2_424830,G1_801523,G1_965021
411,G2_424988,G1_801523,G1_965021
412,G2_431328,G1_801523,G1_965021
413,G2_430239,G1_801523,G1_965021
414,G2_431757,G1_801523,G1_965021
415,G2_425059,G1_801523,G1_965021
416,G2_424841,G1_801523,G1_965021
417,G2_430812,G1_801523,G1_965021
418,G2_431747,G1_801523,G1_965021
419,G2_426184,G1_801523,G1_965021
420,G2_425380,G1_801529,G1_972451
421,G2_430327,G1_801529,G1_972451
422,G2_431778,G1_801529,G1_972451
423,G2_425652,G1_801529,G1_972451
424,G2_432126,G1_801529,G1_972451
425,G2_430656,G1_801529,G1_972451
426,G2_425218,G1_801529,G1_972451
427,G2_431139,G1_801529,G1_972451
428,G2_431824,G1_801529,G1_972451
429,G2_431085,G1_801529,G1_972451
430,G2_430496,G1_801529,G1_972451
431,G2_431154,G1_801529,G1_972451
432,G2_431537,G1_801529,G1_972451
433,G2_425322,G1_801529,G1_972451
434,G2_424745,G1_801529,G1_972451
435,G2_431855,G1_801529,G1_972451
436,G2_431610,G1_801529,G1_972451
437,G2_431008,G1_801529,G1_972451
438,G2_430568,G1_801529,G1_972451
439,G2_431542,G1_801529,G1_972451
440,G2_425668,G1_801529,G1_972451
441,G2_424343,G1_801529,G1_972451
442,G2_426067,G1_801529,G1_972451
443,G2_431286,G1_801529,G1_972451
444,G2_424843,G1_801529,G1_972451
445,G2_430838,G1_801529,G1_972451
446,G2_424637,G1_801529,G1_972451
447,G2_426181,G1_801529,G1_972451
448,G2_430853,G1_801529,G1_972451
449,G2_425275,G1_801529,G1_972451
450,G2_424272,G1_801529,G1_963783
451,G2_424626,G1_801529,G1_963783
452,G2_425506,G1_801529,G1_963783
453,G2_430564,G1_801529,G1_963783
454,G2_425475,G1_801529,G1_963783
455,G2_425708,G1_801529,G1_963783
456,G2_425698,G1_801529,G1_963783
457,G2_424557,G1_801529,G1_963783
458,G2_431521,G1_801529,G1_963783
459,G2_424770,G1_801529,G1_963783
460,G2_432054,G1_801529,G1_963783
461,G2_430270,G1_801529,G1_963783
462,G2_424446,G1_801529,G1_963783
463,G2_425910,G1_801529,G1_963783
464,G2_424302,G1_801529,G1_963783
465,G2_424749,G1_801529,G1_963783
466,G2_431783,G1_801529,G1_963783
467,G2_424349,G1_801529,G1_963783
468,G2_430553,G1_801529,G1_963783
469,G2_431512,G1_801529,G1_963783
470,G2_430236,G1_801529,G1_963783
471,G2_431799,G1_801529,G1_963783
472,G2_430472,G1_801529,G1_963783
473,G2_425663,G1_801529,G1_963783
474,G2_430658,G1_801529,G1_963783
475,G2_425790,G1_801529,G1_963783
476,G2_431291,G1_801529,G1_963783
477,G2_425089,G1_801529,G1_963783
478,G2_425807,G1_801529,G1_963783
479,G2_431155,G1_801529,G1_963783
480,G2_432083,G1_801529,G1_964946
481,G2_424263,G1_801529,G1_964946
482,G2_430663,G1_801529,G1_964946
483,G2_424633,G1_801529,G1_964946
484,G2_425320,G1_801529,G1_964946
485,G2_425329,G1_801529,G1_964946
486,G2_426127,G1_801529,G1_964946
487,G2_425932,G1_801529,G1_964946
488,G2_431122,G1_801529,G1_964946
489,G2_430734,G1_801529,G1_964946
490,G2_424866,G1_801529,G1_964946
491,G2_431710,G1_801529,G1_964946
492,G2_430980,G1_801529,G1_964946
493,G2_425280,G1_801529,G1_964946
494,G2_432061,G1_801529,G1_964946
495,G2_431923,G1_801529,G1_964946
496,G2_424623,G1_801529,G1_964946
497,G2_431168,G1_801529,G1_964946
498,G2_426170,G1_801529,G1_964946
499,G2_424922,G1_801529,G1_964946
500,G2_425169,G1_801529,G1_964946
501,G2_430259,G1_801529,G1_964946
502,G2_424761,G1_801529,G1_964946
503,G2_425192,G1_801529,G1_964946
504,G2_426081,G1_801529,G1_964946
505,G2_424833,G1_801529,G1_964946
506,G2_430454,G1_801529,G1_964946
507,G2_431665,G1_801529,G1_964946
508,G2_431036,G1_801529,G1_964946
509,G2_426032,G1_801529,G1_964946
510,G2_431638,G1_823430,G1_965837
511,G2_431866,G1_823430,G1_965837
512,G2_424531,G1_823430,G1_965837
513,G2_425001,G1_823430,G1_965837
514,G2_424544,G1_823430,G1_965837
515,G2_425303,G1_823430,G1_965837
516,G2_432195,G1_823430,G1_965837
517,G2_425305,G1_823430,G1_965837
518,G2_431375,G1_823430,G1_965837
519,G2_424729,G1_823430,G1_965837
520,G2_430305,G1_823430,G1_965837
521,G2_432106,G1_823430,G1_965837
522,G2_424570,G1_823430,G1_965837
523,G2_425777,G1_823430,G1_965837
524,G2_425814,G1_823430,G1_965837
525,G2_424752,G1_823430,G1_965837
526,G2_430507,G1_823430,G1_965837
527,G2_425344,G1_823430,G1_965837
528,G2_425259,G1_823430,G1_965837
529,G2_425896,G1_823430,G1_965837
530,G2_425224,G1_823430,G1_965837
531,G2_431428,G1_823430,G1_965837
532,G2_424946,G1_823430,G1_965837
533,G2_430837,G1_823430,G1_965837
534,G2_425291,G1_823430,G1_965837
535,G2_430733,G1_823430,G1_965837
536,G2_425645,G1_823430,G1_965837
537,G2_425175,G1_823430,G1_965837
538,G2_424351,G1_823430,G1_965837
539,G2_424599,G1_823430,G1_965837
540,G2_425140,G1_823430,G1_965134
541,G2_424442,G1_823430,G1_965134
542,G2_431236,G1_823430,G1_965134
543,G2_424241,G1_823430,G1_965134
544,G2_431458,G1_823430,G1_965134
545,G2_431113,G1_823430,G1_965134
546,G2_425552,G1_823430,G1_965134
547,G2_430771,G1_823430,G1_965134
548,G2_431240,G1_823430,G1_965134
549,G2_424373,G1_823430,G1_965134
550,G2_430957,G1_823430,G1_965134
551,G2_425160,G1_823430,G1_965134
552,G2_425050,G1_823430,G1_965134
553,G2_432075,G1_823430,G1_965134
554,G2_424360,G1_823430,G1_965134
555,G2_431617,G1_823430,G1_965134
556,G2_430325,G1_823430,G1_965134
557,G2_425887,G1_823430,G1_965134
558,G2_424493,G1_823430,G1_965134
559,G2_431964,G1_823430,G1_965134
560,G2_424419,G1_823430,G1_965134
561,G2_424883,G1_823430,G1_965134
562,G2_432154,G1_823430,G1_965134
563,G2_431982,G1_823430,G1_965134
564,G2_431635,G1_823430,G1_965134
565,G2_424712,G1_823430,G1_965134
566,G2_426046,G1_823430,G1_965134
567,G2_425104,G1_823430,G1_965134
568,G2_426194,G1_823430,G1_965134
569,G2_424485,G1_823430,G1_965134
570,G2_431030,G1_823430,G1_965022
571,G2_430208,G1_823430,G1_965022
572,G2_424674,G1_823430,G1_965022
573,G2_424344,G1_823430,G1_965022
574,G2_424821,G1_823430,G1_965022
575,G2_424279,G1_823430,G1_965022
576,G2_425815,G1_823430,G1_965022
577,G2_424554,G1_823430,G1_965022
578,G2_430773,G1_823430,G1_965022
579,G2_425958,G1_823430,G1_965022
580,G2_425027,G1_823430,G1_965022
581,G2_432022,G1_823430,G1_965022
582,G2_425771,G1_823430,G1_965022
583,G2_431767,G1_823430,G1_965022
584,G2_424429,G1_823430,G1_965022
585,G2_425791,G1_823430,G1_965022
586,G2_425496,G1_823430,G1_965022
587,G2_425480,G1_823430,G1_965022
588,G2_424602,G1_823430,G1_965022
589,G2_424555,G1_823430,G1_965022
590,G2_431657,G1_823430,G1_965022
591,G2_425222,G1_823430,G1_965022
592,G2_425527,G1_823430,G1_965022
593,G2_430264,G1_823430,G1_965022
594,G2_431376,G1_823430,G1_965022
595,G2_425691,G1_823430,G1_965022
596,G2_431695,G1_823430,G1_965022
597,G2_430617,G1_823430,G1_965022
598,G2_425422,G1_823430,G1_965022
599,G2_432043,G1_823430,G1_965022
600,G2_424562,G1_823131,G1_973157
601,G2_431341,G1_823131,G1_973157
602,G2_430685,G1_823131,G1_973157
603,G2_425968,G1_823131,G1_973157
604,G2_431983,G1_823131,G1_973157
605,G2_424408,G1_823131,G1_973157
606,G2_424907,G1_823131,G1_973157
607,G2_430697,G1_823131,G1_973157
608,G2_431901,G1_823131,G1_973157
609,G2_425760,G1_823131,G1_973157
610,G2_430630,G1_823131,G1_973157
611,G2_424346,G1_823131,G1_973157
612,G2_425253,G1_823131,G1_973157
613,G2_426055,G1_823131,G1_973157
614,G2_425278,G1_823131,G1_973157
615,G2_431465,G1_823131,G1_973157
616,G2_424339,G1_823131,G1_973157
617,G2_431972,G1_823131,G1_973157
618,G2_424747,G1_823131,G1_973157
619,G2_424931,G1_823131,G1_973157
620,G2_431954,G1_823131,G1_973157
621,G2_425173,G1_823131,G1_973157
622,G2_426166,G1_823131,G1_973157
623,G2_431584,G1_823131,G1_973157
624,G2_430359,G1_823131,G1_973157
625,G2_432039,G1_823131,G1_973157
626,G2_431326,G1_823131,G1_973157
627,G2_430681,G1_823131,G1_973157
628,G2_425179,G1_823131,G1_973157
629,G2_425319,G1_823131,G1_973157
630,G2_424361,G1_823131,G1_965047
631,G2_424863,G1_823131,G1_965047
632,G2_424882,G1_823131,G1_965047
633,G2_430347,G1_823131,G1_965047
634,G2_425945,G1_823131,G1_965047
635,G2_424305,G1_823131,G1_965047
636,G2_431912,G1_823131,G1_965047
637,G2_424947,G1_823131,G1_965047
638,G2_424381,G1_823131,G1_965047
639,G2_426130,G1_823131,G1_965047
640,G2_426094,G1_823131,G1_965047
641,G2_431118,G1_823131,G1_965047
642,G2_430425,G1_823131,G1_965047
643,G2_425975,G1_823131,G1_965047
644,G2_431546,G1_823131,G1_965047
645,G2_424722,G1_823131,G1_965047
646,G2_430510,G1_823131,G1_965047
647,G2_424605,G1_823131,G1_965047
648,G2_430615,G1_823131,G1_965047
649,G2_431735,G1_823131,G1_965047
650,G2_424991,G1_823131,G1_965047
651,G2_431837,G1_823131,G1_965047
652,G2_425919,G1_823131,G1_965047
653,G2_432149,G1_823131,G1_965047
654,G2_425526,G1_823131,G1_965047
655,G2_430671,G1_823131,G1_965047
656,G2_424709,G1_823131,G1_965047
657,G2_426043,G1_823131,G1_965047
658,G2_425498,G1_823131,G1_965047
659,G2_424301,G1_823131,G1_965047
660,G2_424480,G1_823131,G1_964927
661,G2_424318,G1_823131,G1_964927
662,G2_431961,G1_823131,G1_964927
663,G2_424295,G1_823131,G1_964927
664,G2_424315,G1_823131,G1_964927
665,G2_426173,G1_823131,G1_964927
666,G2_424923,G1_823131,G1_964927
667,G2_425166,G1_823131,G1_964927
668,G2_425254,G1_823131,G1_964927
669,G2_425357,G1_823131,G1_964927
670,G2_432014,G1_823131,G1_964927
671,G2_431233,G1_823131,G1_964927
672,G2_424593,G1_823131,G1_964927
673,G2_430805,G1_823131,G1_964927
674,G2_425819,G1_823131,G1_964927
675,G2_425980,G1_823131,G1_964927
676,G2_424583,G1_823131,G1_964927
677,G2_424822,G1_823131,G1_964927
678,G2_431565,G1_823131,G1_964927
679,G2_431656,G1_823131,G1_964927
680,G2_425172,G1_823131,G1_964927
681,G2_426031,G1_823131,G1_964927
682,G2_424507,G1_823131,G1_964927
683,G2_425132,G1_823131,G1_964927
684,G2_431869,G1_823131,G1_964927
685,G2_430450,G1_823131,G1_964927
686,G2_424490,G1_823131,G1_964927
687,G2_424565,G1_823131,G1_964927
688,G2_432121,G1_823131,G1_964927
689,G2_432158,G1_823131,G1_964927
690,G2_430417,G1_822986,G1_973162
691,G2_425468,G1_822986,G1_973162
692,G2_425436,G1_822986,G1_973162
